Region,Watershed,Segment Interval,Independent Variable,varcomp,proportion,source_file
CPF,ME,10m,sfm_net change_logtrans,Covariates (PR-sq),0.175778988910838,CPF\Outputs\Segmented 10m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_net change_logtrans,tailup_de,4.39549576408258e-17,CPF\Outputs\Segmented 10m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_net change_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_net change_logtrans,euclid_de,0.824213661468452,CPF\Outputs\Segmented 10m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,ME,10m,sfm_net change_logtrans,nugget,7.34962071035865e-06,CPF\Outputs\Segmented 10m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,MM,10m,lidar_erosion_logtrans,Covariates (PR-sq),0.106637546574447,CPF\Outputs\Segmented 10m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,lidar_erosion_logtrans,tailup_de,0.893323681859102,CPF\Outputs\Segmented 10m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,lidar_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,lidar_erosion_logtrans,euclid_de,3.87715664504435e-05,CPF\Outputs\Segmented 10m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,lidar_erosion_logtrans,nugget,4.84713766444549e-27,CPF\Outputs\Segmented 10m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_deposition_logtrans,Covariates (PR-sq),0.0728576699781033,CPF\Outputs\Segmented 10m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_deposition_logtrans,tailup_de,2.92554835606096e-10,CPF\Outputs\Segmented 10m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_deposition_logtrans,euclid_de,0.927142329729342,CPF\Outputs\Segmented 10m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_deposition_logtrans,nugget,0.0,CPF\Outputs\Segmented 10m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_erosion_logtrans,Covariates (PR-sq),0.166286815834372,CPF\Outputs\Segmented 10m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_erosion_logtrans,tailup_de,1.27742597266385e-08,CPF\Outputs\Segmented 10m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_erosion_logtrans,euclid_de,0.833713171391368,CPF\Outputs\Segmented 10m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_erosion_logtrans,nugget,3.22832584709979e-144,CPF\Outputs\Segmented 10m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_net change_logtrans,Covariates (PR-sq),0.114169337860571,CPF\Outputs\Segmented 10m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_net change_logtrans,tailup_de,0.0197928157911014,CPF\Outputs\Segmented 10m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_net change_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_net change_logtrans,euclid_de,0.866037846348327,CPF\Outputs\Segmented 10m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MM,10m,sfm_net change_logtrans,nugget,7.35513626626629e-18,CPF\Outputs\Segmented 10m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_deposition_logtrans,Covariates (PR-sq),0.060891647836798,CPF\Outputs\Segmented 10m\MW sfm_deposition_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_deposition_logtrans,tailup_de,0.939108352163202,CPF\Outputs\Segmented 10m\MW sfm_deposition_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\MW sfm_deposition_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_deposition_logtrans,euclid_de,9.48356251942972e-115,CPF\Outputs\Segmented 10m\MW sfm_deposition_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_deposition_logtrans,nugget,1.5122446184135202e-85,CPF\Outputs\Segmented 10m\MW sfm_deposition_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_erosion_logtrans,Covariates (PR-sq),0.0950077618615942,CPF\Outputs\Segmented 10m\MW sfm_erosion_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_erosion_logtrans,tailup_de,0.152049114825936,CPF\Outputs\Segmented 10m\MW sfm_erosion_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\MW sfm_erosion_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_erosion_logtrans,euclid_de,0.736220282365284,CPF\Outputs\Segmented 10m\MW sfm_erosion_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_erosion_logtrans,nugget,0.0167228409471859,CPF\Outputs\Segmented 10m\MW sfm_erosion_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_net change_logtrans,Covariates (PR-sq),0.0838199810166944,CPF\Outputs\Segmented 10m\MW sfm_net change_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_net change_logtrans,tailup_de,0.490929117690483,CPF\Outputs\Segmented 10m\MW sfm_net change_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_net change_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\MW sfm_net change_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_net change_logtrans,euclid_de,0.425250901292822,CPF\Outputs\Segmented 10m\MW sfm_net change_logtrans\varcomp_results.csv
CPF,MW,10m,sfm_net change_logtrans,nugget,3.03818591493955e-115,CPF\Outputs\Segmented 10m\MW sfm_net change_logtrans\varcomp_results.csv
CPF,UE,10m,lidar_erosion_logtrans,Covariates (PR-sq),0.158657286158388,CPF\Outputs\Segmented 10m\UE lidar_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,lidar_erosion_logtrans,tailup_de,2.5059812092188e-14,CPF\Outputs\Segmented 10m\UE lidar_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,lidar_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\UE lidar_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,lidar_erosion_logtrans,euclid_de,0.841342713841587,CPF\Outputs\Segmented 10m\UE lidar_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,lidar_erosion_logtrans,nugget,3.04653953058854e-35,CPF\Outputs\Segmented 10m\UE lidar_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_deposition_logtrans,Covariates (PR-sq),0.396217185588729,CPF\Outputs\Segmented 10m\UE sfm_deposition_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_deposition_logtrans,tailup_de,0.603782814411271,CPF\Outputs\Segmented 10m\UE sfm_deposition_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\UE sfm_deposition_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_deposition_logtrans,euclid_de,1.11297066913365e-21,CPF\Outputs\Segmented 10m\UE sfm_deposition_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_deposition_logtrans,nugget,9.91031708618462e-56,CPF\Outputs\Segmented 10m\UE sfm_deposition_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_erosion_logtrans,Covariates (PR-sq),0.328817392431973,CPF\Outputs\Segmented 10m\UE sfm_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_erosion_logtrans,tailup_de,0.671182607568027,CPF\Outputs\Segmented 10m\UE sfm_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\UE sfm_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_erosion_logtrans,euclid_de,2.39694992830534e-24,CPF\Outputs\Segmented 10m\UE sfm_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_erosion_logtrans,nugget,3.16618263701839e-80,CPF\Outputs\Segmented 10m\UE sfm_erosion_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_net change_logtrans,Covariates (PR-sq),0.153523029950882,CPF\Outputs\Segmented 10m\UE sfm_net change_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_net change_logtrans,tailup_de,1.83327913572913e-07,CPF\Outputs\Segmented 10m\UE sfm_net change_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_net change_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\UE sfm_net change_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_net change_logtrans,euclid_de,0.846476786721204,CPF\Outputs\Segmented 10m\UE sfm_net change_logtrans\varcomp_results.csv
CPF,UE,10m,sfm_net change_logtrans,nugget,3.66411963903647e-57,CPF\Outputs\Segmented 10m\UE sfm_net change_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_deposition_logtrans,Covariates (PR-sq),0.179931597167138,CPF\Outputs\Segmented 10m\UM sfm_deposition_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_deposition_logtrans,tailup_de,0.000104449677042,CPF\Outputs\Segmented 10m\UM sfm_deposition_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\UM sfm_deposition_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_deposition_logtrans,euclid_de,0.81996395315582,CPF\Outputs\Segmented 10m\UM sfm_deposition_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_deposition_logtrans,nugget,1.9593131264411e-20,CPF\Outputs\Segmented 10m\UM sfm_deposition_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_erosion_logtrans,Covariates (PR-sq),0.13450068236214,CPF\Outputs\Segmented 10m\UM sfm_erosion_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_erosion_logtrans,tailup_de,2.03630276484965e-26,CPF\Outputs\Segmented 10m\UM sfm_erosion_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\UM sfm_erosion_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_erosion_logtrans,euclid_de,0.86549931763786,CPF\Outputs\Segmented 10m\UM sfm_erosion_logtrans\varcomp_results.csv
CPF,UM,10m,sfm_erosion_logtrans,nugget,2.76811058474945e-169,CPF\Outputs\Segmented 10m\UM sfm_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,lidar_erosion_logtrans,Covariates (PR-sq),0.0585235969248303,CPF\Outputs\Segmented 10m\UW lidar_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,lidar_erosion_logtrans,tailup_de,0.941476403070192,CPF\Outputs\Segmented 10m\UW lidar_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,lidar_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\UW lidar_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,lidar_erosion_logtrans,euclid_de,4.9772071972960794e-12,CPF\Outputs\Segmented 10m\UW lidar_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,lidar_erosion_logtrans,nugget,4.8265761402392605e-53,CPF\Outputs\Segmented 10m\UW lidar_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_deposition_logtrans,Covariates (PR-sq),0.0516254185518042,CPF\Outputs\Segmented 10m\UW sfm_deposition_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_deposition_logtrans,tailup_de,0.948372432891678,CPF\Outputs\Segmented 10m\UW sfm_deposition_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\UW sfm_deposition_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_deposition_logtrans,euclid_de,2.14829743703936e-06,CPF\Outputs\Segmented 10m\UW sfm_deposition_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_deposition_logtrans,nugget,2.5908083928695803e-10,CPF\Outputs\Segmented 10m\UW sfm_deposition_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_erosion_logtrans,Covariates (PR-sq),0.257030365436218,CPF\Outputs\Segmented 10m\UW sfm_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_erosion_logtrans,tailup_de,0.742620147959637,CPF\Outputs\Segmented 10m\UW sfm_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 10m\UW sfm_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_erosion_logtrans,euclid_de,0.0003494866041451,CPF\Outputs\Segmented 10m\UW sfm_erosion_logtrans\varcomp_results.csv
CPF,UW,10m,sfm_erosion_logtrans,nugget,1.79124877941058e-248,CPF\Outputs\Segmented 10m\UW sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,lidar_erosion_logtrans,Covariates (PR-sq),0.300649948560725,CPF\Outputs\Segmented 20m\CPF lidar_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,lidar_erosion_logtrans,tailup_de,1.9991952332454502e-20,CPF\Outputs\Segmented 20m\CPF lidar_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,lidar_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\CPF lidar_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,lidar_erosion_logtrans,euclid_de,1.8818853698961598e-11,CPF\Outputs\Segmented 20m\CPF lidar_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,lidar_erosion_logtrans,nugget,0.699338868320297,CPF\Outputs\Segmented 20m\CPF lidar_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,lidar_erosion_logtrans,1 | as.factor(ch_watershed),1.11831001592998e-05,CPF\Outputs\Segmented 20m\CPF lidar_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_deposition_logtrans,Covariates (PR-sq),0.0889980374948025,CPF\Outputs\Segmented 20m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_deposition_logtrans,tailup_de,0.0478143667384129,CPF\Outputs\Segmented 20m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_deposition_logtrans,euclid_de,0.0026475792975421,CPF\Outputs\Segmented 20m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_deposition_logtrans,nugget,1.28152757377266e-19,CPF\Outputs\Segmented 20m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_deposition_logtrans,1 | as.factor(ch_watershed),0.860540016469242,CPF\Outputs\Segmented 20m\CPF sfm_deposition_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_erosion_logtrans,Covariates (PR-sq),0.0787437335368527,CPF\Outputs\Segmented 20m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_erosion_logtrans,tailup_de,0.0038509292350197,CPF\Outputs\Segmented 20m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_erosion_logtrans,euclid_de,0.910094534626549,CPF\Outputs\Segmented 20m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_erosion_logtrans,nugget,0.0003285337420003,CPF\Outputs\Segmented 20m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_erosion_logtrans,1 | as.factor(ch_watershed),0.0069822688595785,CPF\Outputs\Segmented 20m\CPF sfm_erosion_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_net change_logtrans,Covariates (PR-sq),0.0995756660564191,CPF\Outputs\Segmented 20m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_net change_logtrans,tailup_de,4.33663704018968e-64,CPF\Outputs\Segmented 20m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_net change_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_net change_logtrans,euclid_de,3.1956051240825503e-279,CPF\Outputs\Segmented 20m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_net change_logtrans,nugget,3.18786312929278e-214,CPF\Outputs\Segmented 20m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,CPF,20m,sfm_net change_logtrans,1 | as.factor(ch_watershed),0.900424333943581,CPF\Outputs\Segmented 20m\CPF sfm_net change_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_deposition_logtrans,Covariates (PR-sq),0.421200213872131,CPF\Outputs\Segmented 20m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_deposition_logtrans,tailup_de,0.578799786107602,CPF\Outputs\Segmented 20m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_deposition_logtrans,euclid_de,2.02675386449504e-11,CPF\Outputs\Segmented 20m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_deposition_logtrans,nugget,4.64194379232067e-45,CPF\Outputs\Segmented 20m\ME sfm_deposition_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_erosion_logtrans,Covariates (PR-sq),0.240801689221839,CPF\Outputs\Segmented 20m\ME sfm_erosion_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_erosion_logtrans,tailup_de,0.0005340196040232,CPF\Outputs\Segmented 20m\ME sfm_erosion_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\ME sfm_erosion_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_erosion_logtrans,euclid_de,2.90652337691027e-05,CPF\Outputs\Segmented 20m\ME sfm_erosion_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_erosion_logtrans,nugget,0.758635225940368,CPF\Outputs\Segmented 20m\ME sfm_erosion_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_net change_logtrans,Covariates (PR-sq),0.164574150669509,CPF\Outputs\Segmented 20m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_net change_logtrans,tailup_de,0.835425482837059,CPF\Outputs\Segmented 20m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_net change_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_net change_logtrans,euclid_de,3.66493431882367e-07,CPF\Outputs\Segmented 20m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,ME,20m,sfm_net change_logtrans,nugget,1.9994664675354e-37,CPF\Outputs\Segmented 20m\ME sfm_net change_logtrans\varcomp_results.csv
CPF,MM,20m,lidar_erosion_logtrans,Covariates (PR-sq),0.0142859157260102,CPF\Outputs\Segmented 20m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,lidar_erosion_logtrans,tailup_de,0.98571408427399,CPF\Outputs\Segmented 20m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,lidar_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,lidar_erosion_logtrans,euclid_de,6.62999133157365e-29,CPF\Outputs\Segmented 20m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,lidar_erosion_logtrans,nugget,2.5693526917583e-85,CPF\Outputs\Segmented 20m\MM lidar_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_deposition_logtrans,Covariates (PR-sq),0.073146267543266,CPF\Outputs\Segmented 20m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_deposition_logtrans,tailup_de,0.816372279853604,CPF\Outputs\Segmented 20m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_deposition_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_deposition_logtrans,euclid_de,0.11048145260313,CPF\Outputs\Segmented 20m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_deposition_logtrans,nugget,3.7792623117160098e-56,CPF\Outputs\Segmented 20m\MM sfm_deposition_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_erosion_logtrans,Covariates (PR-sq),0.113900672015394,CPF\Outputs\Segmented 20m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_erosion_logtrans,tailup_de,0.886099327984606,CPF\Outputs\Segmented 20m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_erosion_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_erosion_logtrans,euclid_de,2.13349973924029e-17,CPF\Outputs\Segmented 20m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_erosion_logtrans,nugget,3.11883607266496e-139,CPF\Outputs\Segmented 20m\MM sfm_erosion_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_net change_logtrans,Covariates (PR-sq),0.135906291570916,CPF\Outputs\Segmented 20m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_net change_logtrans,tailup_de,0.0003369072057623,CPF\Outputs\Segmented 20m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_net change_logtrans,taildown_de,0.0,CPF\Outputs\Segmented 20m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_net change_logtrans,euclid_de,1.9082563850338897e-18,CPF\Outputs\Segmented 20m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MM,20m,sfm_net change_logtrans,nugget,0.863756801223321,CPF\Outputs\Segmented 20m\MM sfm_net change_logtrans\varcomp_results.csv
CPF,MW,20m,sfm_deposition_logtrans,Covariates (PR-sq),0.139642186635163,CPF\Outputs\Segmented 20m\MW sfm_deposition_logtrans\varcomp_results.csv
